"1",,,,"2",,,,"3",,,,"4",,,,"5",,,,"6",,,,"7",,,,"8",,,,"9",,,,"10",,,,"11",,,,"12",,,,"13",,,,"14",,,,"15",,,,"16",,,,"17",,,
"Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1","Time","Force","Stroke","Ext.1"
"sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm","sec","N","mm","mm"
"0","1,152357","0","0","0","1,096725","0","0","0","1,155535","0","0","0","1,214345","0","0","0","1,767476","0","0","0","1,646678","0","0","0","1,548131","0","0","0","1,839002","0","0","0","1,301765","0","0","0","1,02361","0","0","0","1,484553","0","0","0","1,050631","0","0","0","1,521111","0","0","0","1,564026","0","0","0","1,007716","0","0","0","1,754761","0","0","0","1,721382","0","0"
"0,01","2,004306","0,0009666667","0","0,01","2,098083","0,0008333334","0","0,01","2,037684","0,0008666667","0","0,01","2,333323","0,0009","0","0,01","2,695719","0,0008333334","0","0,01","2,506574","0,0008666667","0","0,01","2,551079","0,0008666667","0","0,01","2,881686","0,0009","0","0,01","2,287229","0,0008666667","0","0,01","1,84377","0,0009","0","0,01","2,601941","0,0008333334","0","0,01","2,287229","0,0008666667","0","0,01","2,444585","0,0008666667","0","0,01","2,543132","0,0008333334","0","0,01","1,015663","0,0003666667","0","0,01","2,732277","0,0008666667","0","0,01","2,743403","0,0009","0"
"0,02","2,951622","0,0019","0","0,02","3,10421","0,0017","0","0,02","2,954801","0,001766667","0","0,02","3,468196","0,001833333","0","0,02","3,604889","0,001666667","0","0,02","3,358523","0,0017","0","0,02","3,584226","0,001733333","0","0,02","3,868739","0,001733333","0","0,02","3,282229","0,001733333","0,006","0,02","2,740224","0,001733333","0","0,02","3,714561","0,001666667","0","0,02","3,531774","0,001733333","0","0,02","3,390312","0,0017","0","0,02","3,499985","0,0017","0","0,02","1,015663","0,001266667","0","0,02","3,698667","0,001733333","0","0,02","3,830592","0,001766667","0"
"0,03","3,960927","0,002833333","0","0,03","4,054705","0,002533333","0","0,03","3,867149","0,0026","0","0,03","4,579226","0,002666667","0","0,03","4,474322","0,002533333","0","0,03","4,18663","0,0025","0","0,03","4,558563","0,002633333","0","0,03","4,796982","0,002566667","0","0,03","4,226367","0,002566667","0,011","0,03","3,638268","0,0026","0","0,03","4,809698","0,0025","0","0,03","4,715919","0,0026","0","0,03","4,323324","0,002566667","0","0,03","4,39326","0,002533333","0","0,03","1,039505","0,0023","0","0,03","4,639626","0,0026","0","0,03","4,927317","0,0026","0"
"0,04","5,0354","0,0037","0","0,04","4,957517","0,0034","0","0,04","4,755656","0,003433333","0","0,04","5,645752","0,003533333","0","0,04","5,305608","0,003366667","0","0,04","4,995664","0,003333333","0","0,04","5,462965","0,0035","0","0,04","5,68231","0,0034","0","0,04","5,108515","0,003366667","0,011","0,04","4,498164","0,003433333","0","0,04","5,85556","0,003333333","0","0,04","5,842844","0,003433333","0","0,04","5,226135","0,0034","0","0,04","5,224546","0,003366667","0","0,04","1,144409","0,0033","0","0,04","5,567869","0,003433333","0","0,04","5,985896","0,003433333","0"
"0,05","6,186167","0,0046","0","0,05","5,815824","0,0042","0","0,05","5,620321","0,004266667","0","0,05","6,680489","0,004333334","0","0,05","6,101926","0,004233333","0","0,05","5,787214","0,004166667","0","0,05","6,311735","0,004333334","0","0,05","6,545385","0,004233333","0","0,05","5,957285","0,004166667","0,011","0,05","5,30084","0,004233333","0","0,05","6,841024","0,0042","0","0,05","6,934802","0,004266667","0","0,05","6,0908","0,004233333","0","0,05","6,017685","0,004233333","0","0,05","1,430511","0,004233333","0","0,05","6,473859","0,0043","0","0,05","7,007917","0,004266667","0"
"0,06","7,386208","0,0054","0","0,06","6,655057","0,005033333","0","0,06","6,465912","0,005133334","0","0,06","7,70092","0,005166667","0","0,06","6,882349","0,0051","0","0,06","6,5581","0,005","0","0,06","7,147789","0,005166667","0","0,06","7,386208","0,005066667","0","0,06","6,780624","0,004966667","0,011","0,06","6,06219","0,005033333","0","0,06","7,783572","0,005","0","0,06","8,014043","0,0051","0","0,06","6,918907","0,005066667","0","0,06","6,799698","0,005033333","0","0,06","1,972516","0,005166667","0","0,06","7,346471","0,005166667","0","0,06","7,996559","0,0051","0"
"0,07","8,598964","0,006233334","0","0,07","7,484754","0,005866667","0","0,07","7,297198","0,006","0","0,07","8,714993","0,006033333","0","0,07","7,665952","0,005933333","0","0,07","7,301966","0,005866667","0","0,07","7,99338","0,006033333","0","0,07","8,207957","0,0059","0","0,07","7,58489","0,0058","0,011","0,07","6,79334","0,005866667","0","0,07","8,716583","0,005833333","0","0,07","9,080569","0,005933333","0","0,07","7,723173","0,005866667","0","0,07","7,573763","0,0059","0","0,07","2,760887","0,0061","0","0,07","8,206367","0,006033333","0","0,07","8,945465","0,005966667","0"
"0,08","9,786288","0,0071","0","0,08","8,311272","0,006666667","0","0,08","8,114179","0,0068","0","0,08","9,702046","0,006866667","0","0,08","8,46227","0,006733333","0","0,08","8,025169","0,0067","0","0,08","8,840561","0,0069","0","0,08","9,026527","0,006733333","0","0,08","8,37326","0,006633333","0,011","0,08","7,503828","0,006666667","0","0,08","9,657542","0,006633333","0","0,08","10,12484","0,006766667","0","0,08","8,514722","0,006733333","0","0,08","8,360545","0,0067","0","0,08","3,685951","0,007","0","0,08","9,080569","0,006866667","0","0,08","9,846687","0,006833334","0"
"0,09","10,92911","0,008","0","0,09","9,123485","0,0075","0","0,09","8,923213","0,0076","0","0,09","10,64777","0,0077","0","0,09","9,264946","0,007566667","0","0,09","8,737247","0,007566667","0","0,09","9,668668","0,007733333","0","0,09","9,833972","0,007566667","0","0,09","9,160042","0,007466667","0,008","0,09","8,198421","0,007533333","0","0,09","10,60645","0,0075","0","0,09","11,15163","0,007633334","0","0,09","9,301503","0,007566667","0","0,09","9,160042","0,007533333","0","0,09","4,642805","0,007866667","0","0,09","9,980202","0,0077","0","0,09","10,7193","0,007666667","0"
"0,1","12,02106","0,0088","0","0,1","9,911855","0,0083","0","0,1","9,746552","0,008433334","0","0,1","11,5633","0,008533333","0","0,1","10,06126","0,008433334","0","0,1","9,455681","0,0084","0","0,1","10,48088","0,008566666","0","0,1","10,62393","0,0084","0","0,1","9,937286","0,008333334","0","0,1","8,886655","0,008366667","0","0,1","11,55217","0,008333334","0","0,1","12,17365","0,008466667","0","0,1","10,07398","0,008433334","0","0,1","9,95636","0,008333334","0","0,1","5,583763","0,008733333","0","0,1","10,86871","0,008566666","0","0,1","11,59668","0,008466667","0"
